posting_url,profile_url,posted_date,num_likes,num_views,posting_text
"https://www.instagram.com/p/COkzST7jVHy/
",https://www.instagram.com/stadtzh/,2021-05-07 14:25:47,506,,Dieses Wochenende lacht uns die Sonne wieder mal ins Gesicht. ☀Merci @philipp_pley für dieses schöne Bild der Woche. Happy weekend! 🥳#StadtZürich #Zürich #Tsüri #Zurich #ZurichCity #SchönsZüri #BildDerWoche #Sonne #Wochenende #weekend #helloZurich #VisitZurich #Frühling #EsWirdWarm #juhu
https://www.instagram.com/p/CLduRM1i_8A/,https://www.instagram.com/wissenschaftsstadt_darmstadt/,2021-02-19 07:00:43,,1.821,"Oberbürgermeister Jochen Partsch in Gedenken an die Opfer von HanauEin Jahr nach dem rechtsextremen Anschlag von Hanau gedenken wir heute der Opfer. Neun Menschen sind am 19. Februar 2020 aus rassistischen Motiven aus ihrem Leben gerissen worden:Gökhan Gültekin, Sedat Gürbüz, Said Nesar Hashemi,Mercedes Kierpacz, Hamza Kurtović, Vili Viorel Păun, Fatih Saraçoğlu, Ferhat Unvar und Kaloyan Velkov.Aufgrund der Corona-Situation kann keine persönliche Gedenkveranstaltung stattfinden. Stattdessen wird der Opfer mit der Projektion ihrer Namen & Portraits im öffentlichen Raum gedacht. In seiner Gedenkrede äußert sich Oberbürgermeister Jochen Partsch zum Anschlag von Hanau vor einem Jahr & zur Verantwortung, die wir alle tragen, uns rassistischen Strömungen täglich entgegenzustellen.Unterstützt wird das Gedenken von der Interessengemeinschaft Darmstädter Migrantenselbstorganisationen (IG MSOs), dem Ausländerbeirat der Wissenschaftsstadt Darmstadt, dem Verband Deutscher Sinti und Roma – Landesverband Hessen, Gegen Vergessen für Demokratie – Regionale Arbeitsgruppe Südhessen, der Arbeitsgemeinschaft Christlicher Kirchen Darmstadt, den Evangelische Dekanaten Darmstadt-Stadt und Darmstadt-Land, der Evangelische Hochschule Darmstadt, der Hochschule Darmstadt sowie der Technischen Universität Darmstadt. ...#wissenschaftsstadtdarmstadt #darmstadt #SayTheirNames #hanau #19februar #einjahrhanau #niemalsvergessen #gedenken #antirassismus #neinzurassismus @tudarmstadt @hochschuledarmstadt @eh_darmstadt @gegen.vergessen.suedhessen"
